debugDIbLn:debugfvhBQ,initialized,0,,1467510601682
debugDIbLn:debugfvhBQ,window_resize,0,"[1031, 787]",1467510601682
debugFzDBA:debugJ9ims,initialized,0,,1467506749101
debugFzDBA:debugJ9ims,window_resize,0,"[1031, 787]",1467506749101
debugFzDBA:debugJ9ims,focus,808570,off,1467507557671
debugFzDBA:debugJ9ims,focus,60608,on,1467507618279
debugFzDBA:debugJ9ims,focus,102205,off,1467507720484
debugFzDBA:debugJ9ims,focus,170839,on,1467507891323
debugjC19l:debugTKjhY,initialized,0,,1467506278949
debugjC19l:debugTKjhY,window_resize,0,"[1031, 787]",1467506278949
debuglWQLL:debugFu4kN,initialized,0,,1467510746013
debuglWQLL:debugFu4kN,window_resize,0,"[1031, 787]",1467510746013
debugp7PN2:debugH6ht5,initialized,0,,1467506190490
debugp7PN2:debugH6ht5,window_resize,0,"[1031, 787]",1467506190490
debugSxr77:debuggp9LD,initialized,0,,1467509076760
debugSxr77:debuggp9LD,window_resize,0,"[1031, 787]",1467509076760
debugXwhKv:debugBFYFY,initialized,0,,1467509180019
debugXwhKv:debugBFYFY,window_resize,0,"[1031, 787]",1467509180019
